年份,月份,车型,总销量
2021,2021-11,RX6,477
2021,2021-11,ZS,207
2021,2021-11,MARVEL,48
2021,2021-12,RX6,486
2021,2021-12,ZS,88
2021,2021-12,MARVEL,9
2022,2022-01,RX6,101
2022,2022-01,ZS,73
2022,2022-01,MARVEL,5
2022,2022-02,RX6,490
2022,2022-02,ZS,150
2022,2022-02,MARVEL,7
2022,2022-02,SONSTIGE,3
2022,2022-03,RX6,373
2022,2022-03,ZS,152
2022,2022-03,MARVEL,17
2022,2022-03,SONSTIGE,0
2022,2022-04,RX6,557
2022,2022-04,ZS,381
2022,2022-04,MARVEL,79
2022,2022-04,5,48
2022,2022-05,RX6,508
2022,2022-05,ZS,218
2022,2022-05,5,54
2022,2022-05,MARVEL,38
2022,2022-06,RX6,546
2022,2022-06,ZS,260
2022,2022-06,5,99
2022,2022-06,MARVEL,22
2022,2022-07,ZS,310
2022,2022-07,RX6,273
2022,2022-07,MARVEL,59
2022,2022-07,5,26
2022,2022-08,5,394
2022,2022-08,RX6,298
2022,2022-08,ZS,102
2022,2022-08,MARVEL,94
2022,2022-09,5,1013
2022,2022-09,ZS,307
2022,2022-09,RX6,191
2022,2022-09,MARVEL,151
2022,2022-09,4,98
2022,2022-10,5,579
2022,2022-10,4,433
2022,2022-10,ZS,373
2022,2022-10,RX6,360
2022,2022-10,MARVEL,287
2022,2022-11,4,463
2022,2022-11,ZS,447
2022,2022-11,RX6,427
2022,2022-11,5,193
2022,2022-11,MARVEL,107
2022,2022-12,RX6,2291
2022,2022-12,4,775
2022,2022-12,ZS,673
2022,2022-12,MARVEL,450
2022,2022-12,5,329
2023,2023-01,4,227
2023,2023-01,ZS,140
2023,2023-01,MARVEL,61
2023,2023-01,5,44
2023,2023-01,RX6,11
2023,2023-02,4,776
2023,2023-02,RX6,220
2023,2023-02,ZS,189
2023,2023-02,5,82
2023,2023-02,MARVEL,62
2023,2023-02,SONSTIGE,1
2023,2023-03,4,1389
2023,2023-03,ZS,252
2023,2023-03,5,227
2023,2023-03,RX6,91
2023,2023-03,MARVEL,51
2023,2023-03,SONSTIGE,0
2023,2023-04,4,827
2023,2023-04,ZS,177
2023,2023-04,5,68
2023,2023-04,MARVEL,55
2023,2023-04,RX6,36
2023,2023-04,SONSTIGE,0
2023,2023-05,4,941
2023,2023-05,ZS,564
2023,2023-05,5,138
2023,2023-05,MARVEL,88
2023,2023-05,RX6,48
2023,2023-05,SONSTIGE,1
2023,2023-06,4,928
2023,2023-06,RX6,624
2023,2023-06,ZS,526
2023,2023-06,5,466
2023,2023-06,MARVEL,89
2023,2023-06,SONSTIGE,0
2023,2023-07,4,1193
2023,2023-07,ZS,561
2023,2023-07,5,253
2023,2023-07,RX6,195
2023,2023-07,MARVEL,37
2023,2023-07,SONSTIGE,0
2023,2023-08,4,1840
2023,2023-08,ZS,276
2023,2023-08,5,256
2023,2023-08,MARVEL,73
2023,2023-08,RX6,9
2023,2023-08,SONSTIGE,0
2023,2023-09,4,539
2023,2023-09,ZS,152
2023,2023-09,5,58
2023,2023-09,MARVEL,17
2023,2023-09,RX6,11
2023,2023-09,SONSTIGE,0
2023,2023-10,4,1722
2023,2023-10,ZS,282
2023,2023-10,5,69
2023,2023-10,MARVEL,21
2023,2023-10,RX6,19
2023,2023-10,SONSTIGE,0
2023,2023-11,4,1106
2023,2023-11,ZS,251
2023,2023-11,5,188
2023,2023-11,RX6,111
2023,2023-11,MARVEL,17
2023,2023-11,SONSTIGE,0
2023,2023-12,4,1775
2023,2023-12,ZS,366
2023,2023-12,5,201
2023,2023-12,RX6,130
2023,2023-12,MARVEL,105
2023,2023-12,SONSTIGE,0
2024,2024-01,4,249
2024,2024-01,RX6,223
2024,2024-01,5,205
2024,2024-01,ZS,199
2024,2024-01,MARVEL,20
2024,2024-02,4,1504
2024,2024-02,ZS,191
2024,2024-02,5,173
2024,2024-02,RX6,91
2024,2024-02,MARVEL,27
2024,2024-03,ZS,895
2024,2024-03,4,256
2024,2024-03,RX6,212
2024,2024-03,5,182
2024,2024-03,MARVEL,11
2024,2024-03,SONSTIGE,3
2024,2024-04,4,594
2024,2024-04,ZS,501
2024,2024-04,RX6,130
2024,2024-04,5,48
2024,2024-04,MARVEL,23
2024,2024-04,3,8
2024,2024-05,4,2064
2024,2024-05,ZS,398
2024,2024-05,RX6,123
2024,2024-05,5,72
2024,2024-05,3,23
2024,2024-05,MARVEL,19
2024,2024-06,4,4492
2024,2024-06,ZS,315
2024,2024-06,RX6,197
2024,2024-06,3,103
2024,2024-06,5,35
2024,2024-06,MARVEL,16
2024,2024-07,4,1423
2024,2024-07,ZS,150
2024,2024-07,RX6,114
2024,2024-07,3,102
2024,2024-07,5,33
2024,2024-07,MARVEL,9
2024,2024-08,4,188
2024,2024-08,ZS,165
2024,2024-08,3,144
2024,2024-08,RX6,66
2024,2024-08,5,28
2024,2024-08,MARVEL,3
2024,2024-09,ZS,244
2024,2024-09,4,243
2024,2024-09,3,153
2024,2024-09,RX6,33
2024,2024-09,5,14
2024,2024-09,CYBERSTER,14
2024,2024-09,MARVEL,6
2024,2024-10,4,652
2024,2024-10,3,442
2024,2024-10,RX6,183
2024,2024-10,ZS,141
2024,2024-10,5,9
2024,2024-10,MARVEL,4
