年份,月份,总销量
2022,2022-04,48
2022,2022-05,54
2022,2022-06,99
2022,2022-07,26
2022,2022-08,394
2022,2022-09,1013
2022,2022-10,579
2022,2022-11,193
2022,2022-12,329
2023,2023-01,44
2023,2023-02,82
2023,2023-03,227
2023,2023-04,68
2023,2023-05,138
2023,2023-06,466
2023,2023-07,253
2023,2023-08,256
2023,2023-09,58
2023,2023-10,69
2023,2023-11,188
2023,2023-12,201
2024,2024-01,205
2024,2024-02,173
2024,2024-03,182
2024,2024-04,48
2024,2024-05,72
2024,2024-06,35
2024,2024-07,33
2024,2024-08,28
2024,2024-09,14
2024,2024-10,9
2024,2024-11,13
2024,2024-12,5
2025,2025-01,178
2025,2025-02,39
