年份,月份,总销量
2021,2021-11,48
2021,2021-12,9
2022,2022-01,5
2022,2022-02,7
2022,2022-03,17
2022,2022-04,79
2022,2022-05,38
2022,2022-06,22
2022,2022-07,59
2022,2022-08,94
2022,2022-09,151
2022,2022-10,287
2022,2022-11,107
2022,2022-12,450
2023,2023-01,61
2023,2023-02,62
2023,2023-03,51
2023,2023-04,55
2023,2023-05,88
2023,2023-06,89
2023,2023-07,37
2023,2023-08,73
2023,2023-09,17
2023,2023-10,21
2023,2023-11,17
2023,2023-12,105
2024,2024-01,20
2024,2024-02,27
2024,2024-03,11
2024,2024-04,23
2024,2024-05,19
2024,2024-06,16
2024,2024-07,9
2024,2024-08,3
2024,2024-09,6
2024,2024-10,4
2024,2024-11,3
2024,2024-12,3
2025,2025-01,173
2025,2025-02,16
