年份,月份,总销量
2021,2021-11,477
2021,2021-12,486
2022,2022-01,101
2022,2022-02,490
2022,2022-03,373
2022,2022-04,557
2022,2022-05,508
2022,2022-06,546
2022,2022-07,273
2022,2022-08,298
2022,2022-09,191
2022,2022-10,360
2022,2022-11,427
2022,2022-12,2291
2023,2023-01,11
2023,2023-02,220
2023,2023-03,91
2023,2023-04,36
2023,2023-05,48
2023,2023-06,624
2023,2023-07,195
2023,2023-08,9
2023,2023-09,11
2023,2023-10,19
2023,2023-11,111
2023,2023-12,130
2024,2024-01,223
2024,2024-02,91
2024,2024-03,212
2024,2024-04,130
2024,2024-05,123
2024,2024-06,197
2024,2024-07,114
2024,2024-08,66
2024,2024-09,33
2024,2024-10,183
2024,2024-11,123
2024,2024-12,712
2025,2025-01,108
2025,2025-02,162
