年份,月份,总销量
2021,2021-11,207
2021,2021-12,88
2022,2022-01,73
2022,2022-02,150
2022,2022-03,152
2022,2022-04,381
2022,2022-05,218
2022,2022-06,260
2022,2022-07,310
2022,2022-08,102
2022,2022-09,307
2022,2022-10,373
2022,2022-11,447
2022,2022-12,673
2023,2023-01,140
2023,2023-02,189
2023,2023-03,252
2023,2023-04,177
2023,2023-05,564
2023,2023-06,526
2023,2023-07,561
2023,2023-08,276
2023,2023-09,152
2023,2023-10,282
2023,2023-11,251
2023,2023-12,366
2024,2024-01,199
2024,2024-02,191
2024,2024-03,895
2024,2024-04,501
2024,2024-05,398
2024,2024-06,315
2024,2024-07,150
2024,2024-08,165
2024,2024-09,244
2024,2024-10,141
2024,2024-11,135
2024,2024-12,199
2025,2025-01,640
2025,2025-02,279
